carrier,arr_flights,rarr_del15,rcarrier_ct,rweather_ct,rnas_ct,rsecurity_ct,rarr_cancelled,rarr_diverted,sum,fleet,avg_age,full,part,total
9E,348901,17.8408775,4.200781884,0.6419586072,6.122756885,0.00623959232,2.325301447,0.2198331332,68.64225095,173,11,"4,483",112,"4,595"
AA,2813197,19.5917314,5.884786597,0.6767652603,6.767321307,0.04427098422,1.515428887,0.2421799824,65.27751558,995,10.8,"95,595","12,178","107,773"
AS,656395,15.96584374,3.600674898,0.304427974,7.800382392,0.08566792861,0.9198729424,0.2617326457,71.06139748,155,8.4,"15,799","1,886","17,685"
B6,917395,25.3258411,8.122206901,0.4222706686,7.616431308,0.06948697126,2.065740493,0.2571411442,56.12088141,243,10.2,"16,498","5,148","21,646"
DL,2896199,13.54264676,4.343304448,0.6598382915,4.734535507,0.01223120373,0.5458879034,0.1963608164,75.96519507,932,15.8,"79,502","10,929","90,431"
EV,924342,19.63980864,5.631479474,0.2906737982,6.575051226,0,2.890813141,0.319470499,64.65270322,183,16.8,"2,668",4,"2,672"
F9,339700,24.99470121,6.795846335,0.2814395054,8.372955549,0,1.423020312,0.1468943185,57.98514277,78,4.2,"4,581",48,"4,629"
HA,249768,10.67070241,6.3030172,0.3961676436,0.2767568303,0.04691553762,0.245427757,0.1044969732,81.95651565,51,4.9,"5,843","1,469","7,312"
MQ,426723,19.71231923,4.135375876,1.173974686,6.984509858,0.02407650865,3.857771904,0.2781663983,63.83380554,198,11.2,"12,011","4,169","16,180"
NK,508126,18.82722002,3.43719668,0.3973404234,10.90353574,0.06835706104,1.899725659,0.1533084314,64.31331599,112,5.6,"7,741",340,"8,081"
OH,396304,19.58092777,5.385052889,0.9534473535,4.750741855,0.03740310469,3.815505269,0.2884149542,65.1885068,123,10.2,"4,211",8,"4,219"
OO,2226665,18.02282786,4.260615764,0.7148785291,5.55803904,0.02255795102,1.587216757,0.3384882773,69.49537582,434,11.5,"12,978","3,898","16,876"
UA,1835817,18.42367731,4.545750475,0.647279658,7.415781638,0.002440330382,0.8701847733,0.2636428359,67.83124298,755,15.1,"78,882","11,664","90,546"
WN,4123678,19.1780978,5.736096999,0.4048179805,3.965838264,0.04642748537,1.66104143,0.2065874203,68.80109262,760,11.2,"58,517","2,240","60,757"
YV,306604,19.80078538,6.305899466,1.26936374,4.901038473,0.05597774328,2.75828104,0.24787674,64.66077742,145,9.2,"3,472",10,"3,482"
YX,448103,18.34377364,3.616460948,0.553214328,8.184417422,0.0174067123,3.075409002,0.2323126603,65.97700529,190,9.2,"5,925",284,"6,209"
