"year"," month","carrier","carrier_name","airport","airport_name","arr_flights","arr_del15","carrier_ct"," weather_ct","nas_ct","security_ct","late_aircraft_ct","arr_cancelled","arr_diverted"," arr_delay"," carrier_delay","weather_delay","nas_delay","security_delay","late_aircraft_delay",
2016,5,"AA","American Airlines Inc.","JFK","New York, NY: John F. Kennedy International",1580.00,313.00,98.40,10.00,109.98,0.81,93.80,6.00,1.00,18967.00,6807.00,1168.00,4310.00,24.00,6658.00,
2016,5,"AA","American Airlines Inc.","LAX","Los Angeles, CA: Los Angeles International",3354.00,654.00,205.69,27.59,258.84,2.15,159.72,17.00,1.00,40703.00,15300.00,2495.00,8854.00,84.00,13970.00,
2016,5,"AA","American Airlines Inc.","DFW","Dallas/Fort Worth, TX: Dallas/Fort Worth International",11887.00,2035.00,557.36,81.78,699.33,7.15,689.39,73.00,98.00,161674.00,64840.00,9821.00,32681.00,190.00,54142.00,
2016,5,"AA","American Airlines Inc.","OKC","Oklahoma City, OK: Will Rogers World",118.00,29.00,5.41,6.20,1.82,0.00,15.58,0.00,0.00,2841.00,305.00,552.00,96.00,0.00,1888.00,
2016,5,"AA","American Airlines Inc.","OGG","Kahului, HI: Kahului Airport",171.00,24.00,16.76,0.00,5.70,0.00,1.53,0.00,0.00,1361.00,1119.00,0.00,195.00,0.00,47.00,
2016,5,"AA","American Airlines Inc.","HNL","Honolulu, HI: Daniel K Inouye International",271.00,41.00,18.31,0.25,14.41,0.00,8.03,1.00,2.00,3944.00,1488.00,14.00,462.00,0.00,1980.00,
2016,5,"AA","American Airlines Inc.","SFO","San Francisco, CA: San Francisco International",1427.00,398.00,98.93,14.64,198.80,2.06,83.57,6.00,1.00,21475.00,5786.00,1779.00,8488.00,102.00,5320.00,
2016,5,"AA","American Airlines Inc.","ORD","Chicago, IL: Chicago O'Hare International",5627.00,1153.00,264.97,35.87,512.10,5.46,334.61,45.00,32.00,80804.00,21924.00,4574.00,28219.00,140.00,25947.00,
2016,5,"AA","American Airlines Inc.","PHL","Philadelphia, PA: Philadelphia International",3920.00,644.00,170.19,31.06,255.37,4.20,183.18,15.00,3.00,35152.00,10009.00,2254.00,9726.00,178.00,12985.00,
2016,5,"AA","American Airlines Inc.","MIA","Miami, FL: Miami International",4801.00,964.00,281.00,23.65,376.93,5.04,277.38,26.00,16.00,67189.00,24601.00,2756.00,15711.00,167.00,23954.00,
2016,5,"AA","American Airlines Inc.","EWR","Newark, NJ: Newark Liberty International",777.00,228.00,52.16,12.52,108.26,0.89,54.17,10.00,0.00,13602.00,3372.00,1013.00,4119.00,30.00,5068.00,
2016,5,"AA","American Airlines Inc.","MCO","Orlando, FL: Orlando International",1587.00,368.00,110.20,18.20,152.84,0.00,86.75,7.00,4.00,23167.00,8097.00,1921.00,6203.00,1.00,6945.00,
