"year"," month","carrier","carrier_name","airport","airport_name","arr_flights","arr_del15","carrier_ct"," weather_ct","nas_ct","security_ct","late_aircraft_ct","arr_cancelled","arr_diverted"," arr_delay"," carrier_delay","weather_delay","nas_delay","security_delay","late_aircraft_delay",
2016,5,"DL","Delta Air Lines Inc.","LAX","Los Angeles, CA: Los Angeles International",3184.00,479.00,103.76,7.56,236.47,1.00,130.22,12.00,2.00,25223.00,8041.00,638.00,7047.00,19.00,9478.00,
2016,5,"DL","Delta Air Lines Inc.","MSY","New Orleans, LA: Louis Armstrong New Orleans International",705.00,68.00,37.97,1.56,17.02,0.00,11.46,0.00,2.00,3534.00,2590.00,79.00,516.00,0.00,349.00,
2016,5,"DL","Delta Air Lines Inc.","ATL","Atlanta, GA: Hartsfield-Jackson Atlanta International",21623.00,2125.00,667.73,82.10,567.81,2.00,805.37,4.00,13.00,138138.00,63911.00,8722.00,20660.00,167.00,44678.00,
2016,5,"DL","Delta Air Lines Inc.","SEA","Seattle, WA: Seattle/Tacoma International",1754.00,114.00,45.44,3.63,31.38,0.00,33.54,0.00,0.00,7876.00,5187.00,136.00,758.00,0.00,1795.00,
2016,5,"DL","Delta Air Lines Inc.","LGA","New York, NY: LaGuardia",2089.00,399.00,89.95,11.86,205.03,0.00,92.16,2.00,5.00,24307.00,6098.00,948.00,9687.00,0.00,7574.00,
2016,5,"DL","Delta Air Lines Inc.","BOI","Boise, ID: Boise Air Terminal",87.00,3.00,2.61,0.00,0.00,0.00,0.39,0.00,0.00,172.00,161.00,0.00,0.00,0.00,11.00,
2016,5,"DL","Delta Air Lines Inc.","FLL","Fort Lauderdale, FL: Fort Lauderdale-Hollywood International",991.00,118.00,39.92,1.97,52.64,1.00,22.47,0.00,2.00,7033.00,2430.00,61.00,2987.00,19.00,1536.00,
2016,5,"DL","Delta Air Lines Inc.","AUS","Austin, TX: Austin - Bergstrom International",382.00,49.00,24.16,1.39,14.12,0.00,9.32,0.00,6.00,2665.00,1694.00,75.00,480.00,0.00,416.00,
2016,5,"DL","Delta Air Lines Inc.","GRR","Grand Rapids, MI: Gerald R. Ford International",311.00,29.00,12.88,3.37,6.39,0.00,6.36,0.00,0.00,2376.00,1794.00,129.00,152.00,0.00,301.00,
2016,5,"DL","Delta Air Lines Inc.","SLC","Salt Lake City, UT: Salt Lake City International",3313.00,233.00,100.36,7.28,54.31,1.00,70.05,1.00,5.00,15578.00,9364.00,639.00,1816.00,16.00,3743.00,
2016,5,"DL","Delta Air Lines Inc.","STL","St. Louis, MO: St Louis Lambert International",425.00,56.00,29.89,2.34,13.27,0.00,10.50,0.00,2.00,2204.00,1117.00,71.00,506.00,0.00,510.00,
2016,5,"DL","Delta Air Lines Inc.","BIL","Billings, MT: Billings Logan International",88.00,7.00,4.74,0.00,2.13,0.00,0.13,0.00,0.00,283.00,204.00,0.00,74.00,0.00,5.00,
2016,5,"DL","Delta Air Lines Inc.","LIT","Little Rock, AR: Bill and Hillary Clinton Nat Adams Field",205.00,17.00,8.54,1.09,2.54,0.00,4.83,0.00,0.00,627.00,353.00,54.00,65.00,0.00,155.00,
2016,5,"DL","Delta Air Lines Inc.","BHM","Birmingham, AL: Birmingham-Shuttlesworth International",316.00,40.00,21.74,2.05,9.10,0.00,7.11,0.00,0.00,1586.00,941.00,66.00,307.00,0.00,272.00,
2016,5,"DL","Delta Air Lines Inc.","DTW","Detroit, MI: Detroit Metro Wayne County",5122.00,438.00,146.04,19.87,96.52,1.00,174.57,2.00,1.00,33886.00,17099.00,1233.00,3500.00,22.00,12032.00,
2016,5,"DL","Delta Air Lines Inc.","DEN","Denver, CO: Denver International",809.00,116.00,36.11,4.87,48.04,0.00,26.98,0.00,7.00,5673.00,1989.00,173.00,1875.00,0.00,1636.00,
2016,5,"DL","Delta Air Lines Inc.","MIA","Miami, FL: Miami International",862.00,107.00,46.10,2.49,33.98,0.00,24.43,0.00,8.00,6756.00,2753.00,128.00,2283.00,0.00,1592.00,
2016,5,"DL","Delta Air Lines Inc.","SNA","Santa Ana, CA: John Wayne Airport-Orange County",238.00,24.00,12.92,0.00,6.98,0.00,4.10,0.00,1.00,1451.00,1035.00,0.00,208.00,0.00,208.00,
2016,5,"DL","Delta Air Lines Inc.","ONT","Ontario, CA: Ontario International",30.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,52.00,52.00,0.00,0.00,0.00,0.00,
2016,5,"DL","Delta Air Lines Inc.","EWR","Newark, NJ: Newark Liberty International",478.00,88.00,32.19,1.26,42.88,0.00,11.67,1.00,0.00,4067.00,1832.00,158.00,1452.00,0.00,625.00,
2016,5,"DL","Delta Air Lines Inc.","TYS","Knoxville, TN: McGhee Tyson",89.00,9.00,5.18,1.38,1.57,0.00,0.87,0.00,0.00,736.00,442.00,242.00,32.00,0.00,20.00,
2016,5,"DL","Delta Air Lines Inc.","BWI","Baltimore, MD: Baltimore/Washington International Thurgood Marshall",654.00,49.00,27.55,0.00,10.16,0.00,11.30,0.00,1.00,2464.00,1709.00,0.00,357.00,0.00,398.00,
2016,5,"DL","Delta Air Lines Inc.","JAN","Jackson/Vicksburg, MS: Jackson Medgar Wiley Evers International",168.00,19.00,9.02,1.03,4.63,0.00,4.31,0.00,0.00,753.00,489.00,19.00,121.00,0.00,124.00,
2016,5,"DL","Delta Air Lines Inc.","LAS","Las Vegas, NV: McCarran International",1181.00,110.00,38.73,4.60,38.32,0.00,28.34,0.00,0.00,5185.00,2018.00,152.00,1197.00,0.00,1818.00,
2016,5,"DL","Delta Air Lines Inc.","CVG","Cincinnati, OH: Cincinnati/Northern Kentucky International",493.00,55.00,24.25,0.74,13.01,0.00,17.00,0.00,0.00,2548.00,1196.00,15.00,407.00,0.00,930.00,
2016,5,"DL","Delta Air Lines Inc.","GRB","Green Bay, WI: Green Bay Austin Straubel International",83.00,13.00,8.09,0.00,0.19,0.00,4.72,0.00,0.00,1529.00,1154.00,0.00,34.00,0.00,341.00,
2016,5,"DL","Delta Air Lines Inc.","DCA","Washington, DC: Ronald Reagan Washington National",899.00,116.00,48.41,3.02,39.75,1.00,23.82,0.00,3.00,6278.00,2863.00,138.00,2016.00,43.00,1218.00,
2016,5,"DL","Delta Air Lines Inc.","MHT","Manchester, NH: Manchester-Boston Regional",31.00,3.00,2.00,0.00,0.28,0.00,0.72,0.00,0.00,136.00,118.00,0.00,5.00,0.00,13.00,
2016,5,"DL","Delta Air Lines Inc.","MCO","Orlando, FL: Orlando International",1516.00,187.00,68.52,1.17,75.84,0.00,41.47,0.00,1.00,9606.00,4472.00,61.00,2734.00,0.00,2339.00,
2016,5,"DL","Delta Air Lines Inc.","MKE","Milwaukee, WI: General Mitchell International",415.00,50.00,28.51,0.10,13.57,0.00,7.82,0.00,0.00,1895.00,1276.00,4.00,321.00,0.00,294.00,
2016,5,"DL","Delta Air Lines Inc.","MSP","Minneapolis, MN: Minneapolis-St Paul International",5366.00,529.00,197.67,16.80,150.89,0.00,163.64,0.00,2.00,32078.00,16384.00,1924.00,4171.00,0.00,9599.00,
2016,5,"DL","Delta Air Lines Inc.","CLE","Cleveland, OH: Cleveland-Hopkins International",256.00,27.00,18.26,0.69,5.50,0.00,2.54,0.00,0.00,1844.00,1482.00,26.00,174.00,0.00,162.00,
2016,5,"DL","Delta Air Lines Inc.","PHL","Philadelphia, PA: Philadelphia International",632.00,83.00,24.96,2.49,44.84,1.00,9.72,0.00,0.00,4462.00,1344.00,186.00,2311.00,47.00,574.00,
