"year"," month","carrier","carrier_name","airport","airport_name","arr_flights","arr_del15","carrier_ct"," weather_ct","nas_ct","security_ct","late_aircraft_ct","arr_cancelled","arr_diverted"," arr_delay"," carrier_delay","weather_delay","nas_delay","security_delay","late_aircraft_delay",
2016,5,"UA","United Air Lines Inc.","KOA","Kona, HI: Ellison Onizuka Kona International at Keahole",101.00,5.00,2.11,0.00,1.90,0.00,0.99,0.00,0.00,504.00,88.00,0.00,193.00,0.00,223.00,
2016,5,"UA","United Air Lines Inc.","SFO","San Francisco, CA: San Francisco International",4492.00,810.00,200.71,18.77,378.77,0.00,211.75,19.00,8.00,54716.00,15930.00,1619.00,18305.00,0.00,18862.00,
2016,5,"UA","United Air Lines Inc.","SEA","Seattle, WA: Seattle/Tacoma International",824.00,109.00,39.88,3.15,21.49,0.00,44.48,1.00,0.00,7793.00,2089.00,865.00,938.00,0.00,3901.00,
2016,5,"UA","United Air Lines Inc.","MCO","Orlando, FL: Orlando International",1015.00,160.00,54.20,6.54,44.46,0.00,54.79,6.00,3.00,11785.00,3327.00,476.00,2199.00,0.00,5783.00,
2016,5,"UA","United Air Lines Inc.","OGG","Kahului, HI: Kahului Airport",202.00,23.00,10.33,0.35,1.64,0.00,10.68,1.00,1.00,1242.00,578.00,8.00,28.00,0.00,628.00,
2016,5,"UA","United Air Lines Inc.","LAX","Los Angeles, CA: Los Angeles International",2490.00,460.00,155.95,15.88,137.76,0.00,150.41,14.00,3.00,29910.00,9514.00,1952.00,5009.00,0.00,13435.00,
2016,5,"UA","United Air Lines Inc.","IAH","Houston, TX: George Bush Intercontinental/Houston",4984.00,709.00,178.34,30.48,309.32,0.00,190.87,57.00,53.00,53886.00,11078.00,3526.00,23120.00,0.00,16162.00,
2016,5,"UA","United Air Lines Inc.","SAT","San Antonio, TX: San Antonio International",302.00,61.00,16.29,1.70,13.33,0.00,29.68,2.00,2.00,4252.00,957.00,206.00,604.00,0.00,2485.00,
2016,5,"UA","United Air Lines Inc.","BOS","Boston, MA: Logan International",1155.00,213.00,70.60,3.17,66.51,0.00,72.71,2.00,0.00,12494.00,3229.00,519.00,2757.00,0.00,5989.00,
2016,5,"UA","United Air Lines Inc.","EWR","Newark, NJ: Newark Liberty International",4276.00,669.00,179.28,21.54,307.86,0.00,160.33,10.00,3.00,43309.00,11604.00,1844.00,15593.00,0.00,14268.00,
2016,5,"UA","United Air Lines Inc.","TPA","Tampa, FL: Tampa International",541.00,81.00,25.73,1.82,23.28,0.00,30.17,1.00,1.00,4984.00,1240.00,291.00,1054.00,0.00,2399.00,
2016,5,"UA","United Air Lines Inc.","ORD","Chicago, IL: Chicago O'Hare International",6066.00,846.00,253.10,24.02,277.57,0.00,291.31,45.00,28.00,65915.00,19548.00,3233.00,18344.00,0.00,24790.00,
2016,5,"UA","United Air Lines Inc.","RSW","Fort Myers, FL: Southwest Florida International",166.00,29.00,9.98,2.29,5.25,0.00,11.48,0.00,0.00,2213.00,569.00,281.00,352.00,0.00,1011.00,
2016,5,"UA","United Air Lines Inc.","DEN","Denver, CO: Denver International",4831.00,614.00,202.63,13.60,219.67,0.00,178.10,17.00,43.00,42788.00,14400.00,1136.00,9644.00,0.00,17608.00,
2016,5,"UA","United Air Lines Inc.","PDX","Portland, OR: Portland International",530.00,61.00,21.13,4.27,5.23,0.00,30.38,1.00,0.00,4343.00,1418.00,219.00,252.00,0.00,2454.00,
2016,5,"UA","United Air Lines Inc.","PHL","Philadelphia, PA: Philadelphia International",342.00,72.00,24.66,1.39,21.44,0.00,24.51,2.00,0.00,4381.00,1444.00,168.00,1029.00,0.00,1740.00,
2016,5,"UA","United Air Lines Inc.","OKC","Oklahoma City, OK: Will Rogers World",62.00,6.00,2.87,0.00,0.09,0.00,3.04,0.00,0.00,331.00,113.00,0.00,8.00,0.00,210.00,
2016,5,"UA","United Air Lines Inc.","PBI","West Palm Beach/Palm Beach, FL: Palm Beach International",174.00,28.00,13.55,0.00,9.55,0.00,4.90,0.00,0.00,1559.00,809.00,0.00,323.00,0.00,427.00,
2016,5,"UA","United Air Lines Inc.","LGA","New York, NY: LaGuardia",702.00,176.00,45.12,6.14,82.66,0.00,42.08,6.00,1.00,11015.00,3669.00,444.00,4012.00,0.00,2890.00,
2016,5,"UA","United Air Lines Inc.","MIA","Miami, FL: Miami International",284.00,50.00,11.85,4.00,17.29,0.00,16.85,1.00,4.00,3462.00,714.00,611.00,754.00,0.00,1383.00,
2016,5,"UA","United Air Lines Inc.","CLE","Cleveland, OH: Cleveland-Hopkins International",362.00,54.00,20.13,1.81,5.02,0.00,27.04,0.00,0.00,3972.00,776.00,298.00,254.00,0.00,2644.00,
2016,5,"UA","United Air Lines Inc.","LAS","Las Vegas, NV: McCarran International",1049.00,138.00,50.22,5.48,15.17,0.00,67.13,5.00,1.00,9132.00,2851.00,569.00,1209.00,0.00,4503.00,
2016,5,"UA","United Air Lines Inc.","MCI","Kansas City, MO: Kansas City International",169.00,39.00,17.60,1.72,6.83,0.00,12.84,2.00,0.00,2749.00,980.00,333.00,353.00,0.00,1083.00,
2016,5,"UA","United Air Lines Inc.","DSM","Des Moines, IA: Des Moines International",177.00,32.00,11.95,0.16,3.35,0.00,16.54,0.00,0.00,1944.00,834.00,5.00,115.00,0.00,990.00,
2016,5,"UA","United Air Lines Inc.","DFW","Dallas/Fort Worth, TX: Dallas/Fort Worth International",346.00,59.00,18.04,0.72,25.23,0.00,15.01,2.00,2.00,4090.00,1269.00,490.00,949.00,0.00,1382.00,
2016,5,"UA","United Air Lines Inc.","BNA","Nashville, TN: Nashville International",134.00,22.00,7.44,0.07,7.76,0.00,6.73,0.00,0.00,1221.00,431.00,12.00,259.00,0.00,519.00,
2016,5,"UA","United Air Lines Inc.","IAD","Washington, DC: Washington Dulles International",1832.00,212.00,72.59,12.57,42.27,0.00,84.57,7.00,3.00,12765.00,4078.00,955.00,1600.00,0.00,6132.00,
2016,5,"UA","United Air Lines Inc.","SJC","San Jose, CA: Norman Y. Mineta San Jose International",99.00,12.00,4.43,1.96,0.04,0.00,5.57,0.00,0.00,917.00,404.00,72.00,2.00,0.00,439.00,
2016,5,"UA","United Air Lines Inc.","MSY","New Orleans, LA: Louis Armstrong New Orleans International",508.00,90.00,32.91,5.83,15.35,0.00,35.91,2.00,1.00,6801.00,1713.00,1028.00,795.00,0.00,3265.00,
2016,5,"UA","United Air Lines Inc.","SJU","San Juan, PR: Luis Munoz Marin International",147.00,17.00,5.88,1.00,4.83,0.00,5.28,2.00,0.00,707.00,267.00,16.00,154.00,0.00,270.00,
