"year"," month","carrier","carrier_name","airport","airport_name","arr_flights","arr_del15","carrier_ct"," weather_ct","nas_ct","security_ct","late_aircraft_ct","arr_cancelled","arr_diverted"," arr_delay"," carrier_delay","weather_delay","nas_delay","security_delay","late_aircraft_delay",
2016,5,"B6","JetBlue Airways","JFK","New York, NY: John F. Kennedy International",3789.00,661.00,183.15,12.29,233.23,1.75,230.58,14.00,2.00,34483.00,9190.00,832.00,10324.00,72.00,14065.00,
2016,5,"B6","JetBlue Airways","FLL","Fort Lauderdale, FL: Fort Lauderdale-Hollywood International",1849.00,435.00,146.40,3.85,147.50,1.82,135.43,6.00,2.00,24877.00,7936.00,614.00,6783.00,39.00,9505.00,
2016,5,"B6","JetBlue Airways","SJU","San Juan, PR: Luis Munoz Marin International",947.00,171.00,68.67,5.91,57.69,0.85,37.88,2.00,1.00,8622.00,3687.00,540.00,1942.00,34.00,2419.00,
2016,5,"B6","JetBlue Airways","EWR","Newark, NJ: Newark Liberty International",619.00,179.00,54.97,3.87,66.06,0.00,54.10,3.00,0.00,11211.00,3422.00,337.00,3094.00,0.00,4358.00,
2016,5,"B6","JetBlue Airways","LAS","Las Vegas, NV: McCarran International",411.00,80.00,31.01,1.12,20.06,2.00,25.81,1.00,0.00,4826.00,2037.00,87.00,942.00,46.00,1714.00,
2016,5,"B6","JetBlue Airways","LGB","Long Beach, CA: Long Beach Airport",742.00,97.00,26.32,0.34,8.59,0.00,61.75,7.00,1.00,4937.00,1564.00,11.00,259.00,0.00,3103.00,
2016,5,"B6","JetBlue Airways","SFO","San Francisco, CA: San Francisco International",485.00,104.00,27.82,2.20,47.86,0.87,25.25,1.00,0.00,5716.00,1730.00,77.00,2261.00,54.00,1594.00,
2016,5,"B6","JetBlue Airways","BOS","Boston, MA: Logan International",3825.00,635.00,198.93,20.76,187.23,0.00,228.08,12.00,4.00,36654.00,11228.00,1935.00,8093.00,0.00,15398.00,
2016,5,"B6","JetBlue Airways","SAN","San Diego, CA: San Diego International",119.00,15.00,7.11,0.00,4.94,0.00,2.95,0.00,0.00,434.00,177.00,0.00,157.00,0.00,100.00,
2016,5,"B6","JetBlue Airways","PBI","West Palm Beach/Palm Beach, FL: Palm Beach International",576.00,149.00,60.00,0.77,53.54,0.00,34.69,0.00,0.00,7608.00,2968.00,23.00,2474.00,0.00,2143.00,
2016,5,"B6","JetBlue Airways","LAX","Los Angeles, CA: Los Angeles International",413.00,63.00,28.68,2.15,13.63,0.84,17.69,0.00,0.00,2978.00,1228.00,137.00,520.00,49.00,1044.00,
2016,5,"B6","JetBlue Airways","IAD","Washington, DC: Washington Dulles International",182.00,21.00,7.43,0.00,5.59,0.00,7.98,0.00,1.00,1015.00,323.00,0.00,211.00,0.00,481.00,
2016,5,"B6","JetBlue Airways","ABQ","Albuquerque, NM: Albuquerque International Sunport",30.00,4.00,2.86,0.00,1.05,0.00,0.09,0.00,0.00,151.00,117.00,0.00,27.00,0.00,7.00,
2016,5,"B6","JetBlue Airways","MCO","Orlando, FL: Orlando International",1764.00,400.00,124.42,1.00,135.26,0.92,138.40,15.00,10.00,21994.00,6580.00,33.00,5135.00,23.00,10223.00,
2016,5,"B6","JetBlue Airways","PSE","Ponce, PR: Mercedita",73.00,10.00,3.00,0.00,4.26,0.00,2.74,0.00,0.00,406.00,168.00,0.00,105.00,0.00,133.00,
2016,5,"B6","JetBlue Airways","SLC","Salt Lake City, UT: Salt Lake City International",160.00,25.00,9.07,0.00,8.89,0.00,7.04,0.00,0.00,834.00,342.00,0.00,230.00,0.00,262.00,
2016,5,"B6","JetBlue Airways","MSY","New Orleans, LA: Louis Armstrong New Orleans International",153.00,31.00,16.70,0.00,7.09,0.33,6.88,0.00,0.00,1260.00,679.00,0.00,200.00,8.00,373.00,
2016,5,"B6","JetBlue Airways","RNO","Reno, NV: Reno/Tahoe International",23.00,5.00,3.79,0.00,0.00,0.00,1.21,0.00,0.00,233.00,177.00,0.00,0.00,0.00,56.00,
2016,5,"B6","JetBlue Airways","RIC","Richmond, VA: Richmond International",207.00,36.00,15.54,1.38,4.91,0.00,14.17,1.00,0.00,2365.00,1120.00,247.00,214.00,0.00,784.00,
2016,5,"B6","JetBlue Airways","BUF","Buffalo, NY: Buffalo Niagara International",378.00,56.00,23.96,0.92,5.95,0.00,25.17,4.00,0.00,2894.00,1213.00,191.00,169.00,0.00,1321.00,
2016,5,"B6","JetBlue Airways","ALB","Albany, NY: Albany International",62.00,11.00,6.61,1.35,0.91,0.00,2.13,0.00,0.00,777.00,450.00,66.00,84.00,0.00,177.00,
