"year"," month","carrier","carrier_name","airport","airport_name","arr_flights","arr_del15","carrier_ct"," weather_ct","nas_ct","security_ct","late_aircraft_ct","arr_cancelled","arr_diverted"," arr_delay"," carrier_delay","weather_delay","nas_delay","security_delay","late_aircraft_delay",
2016,5,"WN","Southwest Airlines Co.","BWI","Baltimore, MD: Baltimore/Washington International Thurgood Marshall",6084.00,809.00,215.25,32.91,145.63,3.81,411.40,12.00,16.00,43091.00,11053.00,3371.00,5510.00,95.00,23062.00,
2016,5,"WN","Southwest Airlines Co.","CAK","Akron, OH: Akron-Canton Regional",83.00,30.00,8.43,0.50,3.60,0.00,17.47,0.00,0.00,1306.00,296.00,14.00,134.00,0.00,862.00,
2016,5,"WN","Southwest Airlines Co.","CHS","Charleston, SC: Charleston AFB/International",251.00,38.00,11.98,3.86,4.36,0.00,17.80,1.00,1.00,2207.00,434.00,431.00,135.00,0.00,1207.00,
2016,5,"WN","Southwest Airlines Co.","CLE","Cleveland, OH: Cleveland-Hopkins International",415.00,85.00,25.12,1.28,8.59,1.00,49.01,2.00,0.00,4000.00,1246.00,34.00,251.00,19.00,2450.00,
2016,5,"WN","Southwest Airlines Co.","CLT","Charlotte, NC: Charlotte Douglas International",181.00,40.00,12.47,0.32,14.90,0.69,11.62,0.00,0.00,1742.00,699.00,20.00,445.00,11.00,567.00,
2016,5,"WN","Southwest Airlines Co.","CMH","Columbus, OH: John Glenn Columbus International",1006.00,146.00,40.11,3.24,22.00,0.87,79.79,4.00,4.00,7150.00,1837.00,188.00,814.00,27.00,4284.00,
2016,5,"WN","Southwest Airlines Co.","CRP","Corpus Christi, TX: Corpus Christi International",114.00,33.00,11.93,0.07,6.28,0.07,14.65,0.00,0.00,1805.00,594.00,8.00,309.00,3.00,891.00,
2016,5,"WN","Southwest Airlines Co.","DAL","Dallas, TX: Dallas Love Field",5196.00,914.00,202.17,43.28,228.78,2.64,437.12,55.00,63.00,49109.00,9414.00,3994.00,10469.00,62.00,25170.00,
2016,5,"WN","Southwest Airlines Co.","DAY","Dayton, OH: James M Cox/Dayton International",89.00,8.00,1.53,0.00,0.35,0.00,6.13,2.00,0.00,378.00,89.00,0.00,9.00,0.00,280.00,
2016,5,"WN","Southwest Airlines Co.","DCA","Washington, DC: Ronald Reagan Washington National",1345.00,232.00,59.36,6.55,53.86,0.00,112.23,5.00,5.00,12245.00,2885.00,669.00,1987.00,0.00,6704.00,
2016,5,"WN","Southwest Airlines Co.","DEN","Denver, CO: Denver International",5415.00,1009.00,232.88,72.09,290.34,0.98,412.72,10.00,50.00,51227.00,11431.00,6220.00,11870.00,26.00,21680.00,
2016,5,"WN","Southwest Airlines Co.","DSM","Des Moines, IA: Des Moines International",89.00,20.00,7.40,0.22,1.69,0.00,10.69,0.00,0.00,1104.00,465.00,13.00,74.00,0.00,552.00,
2016,5,"WN","Southwest Airlines Co.","DTW","Detroit, MI: Detroit Metro Wayne County",603.00,125.00,45.54,2.76,17.70,0.00,59.00,1.00,0.00,5728.00,1893.00,350.00,661.00,0.00,2824.00,
2016,5,"WN","Southwest Airlines Co.","ECP","Panama City, FL: Northwest Florida Beaches International",174.00,26.00,14.50,1.38,3.98,0.00,6.14,0.00,0.00,1746.00,909.00,107.00,140.00,0.00,590.00,
2016,5,"WN","Southwest Airlines Co.","ELP","El Paso, TX: El Paso International",590.00,132.00,34.04,2.05,23.61,0.00,72.30,2.00,0.00,5608.00,1106.00,208.00,799.00,0.00,3495.00,
2016,5,"WN","Southwest Airlines Co.","EWR","Newark, NJ: Newark Liberty International",511.00,116.00,28.66,8.12,40.37,0.00,38.85,5.00,0.00,6079.00,1530.00,517.00,1575.00,0.00,2457.00,
2016,5,"WN","Southwest Airlines Co.","FLL","Fort Lauderdale, FL: Fort Lauderdale-Hollywood International",1657.00,247.00,71.53,12.47,49.42,0.00,113.59,1.00,9.00,14062.00,3738.00,1142.00,2368.00,0.00,6814.00,
2016,5,"WN","Southwest Airlines Co.","FNT","Flint, MI: Bishop International",89.00,10.00,5.00,1.22,1.12,0.00,2.66,1.00,0.00,584.00,232.00,119.00,22.00,0.00,211.00,
2016,5,"WN","Southwest Airlines Co.","GEG","Spokane, WA: Spokane International",264.00,46.00,19.41,0.00,2.73,0.00,23.86,0.00,0.00,2281.00,970.00,0.00,74.00,0.00,1237.00,
2016,5,"WN","Southwest Airlines Co.","GRR","Grand Rapids, MI: Gerald R. Ford International",178.00,37.00,9.69,1.02,7.21,0.00,19.08,0.00,0.00,1602.00,401.00,40.00,195.00,0.00,966.00,
2016,5,"WN","Southwest Airlines Co.","GSP","Greer, SC: Greenville-Spartanburg International",89.00,16.00,5.42,0.00,1.60,0.00,8.98,0.00,0.00,587.00,136.00,0.00,24.00,0.00,427.00,
2016,5,"WN","Southwest Airlines Co.","HOU","Houston, TX: William P Hobby",4091.00,837.00,187.65,57.55,226.80,3.12,361.88,41.00,46.00,45653.00,9044.00,6311.00,10679.00,96.00,19523.00,
2016,5,"WN","Southwest Airlines Co.","HRL","Harlingen/San Benito, TX: Valley International",176.00,31.00,10.57,1.48,1.79,0.00,17.16,2.00,0.00,2089.00,691.00,337.00,143.00,0.00,918.00,
2016,5,"WN","Southwest Airlines Co.","IAD","Washington, DC: Washington Dulles International",201.00,26.00,10.38,0.00,6.40,0.00,9.22,0.00,0.00,1235.00,496.00,0.00,246.00,0.00,493.00,
2016,5,"WN","Southwest Airlines Co.","ICT","Wichita, KS: Wichita Dwight D Eisenhower National",120.00,20.00,8.14,0.00,3.19,0.00,8.67,0.00,0.00,760.00,260.00,0.00,80.00,0.00,420.00,
2016,5,"WN","Southwest Airlines Co.","IND","Indianapolis, IN: Indianapolis International",1124.00,192.00,59.72,7.12,40.61,0.62,83.93,4.00,6.00,10586.00,3507.00,696.00,1158.00,14.00,5211.00,
2016,5,"WN","Southwest Airlines Co.","ISP","Islip, NY: Long Island MacArthur",444.00,79.00,35.99,2.22,8.40,0.00,32.39,0.00,1.00,4355.00,1847.00,122.00,313.00,0.00,2073.00,
