"year"," month","carrier","carrier_name","airport","airport_name","arr_flights","arr_del15","carrier_ct"," weather_ct","nas_ct","security_ct","late_aircraft_ct","arr_cancelled","arr_diverted"," arr_delay"," carrier_delay","weather_delay","nas_delay","security_delay","late_aircraft_delay",
2016,5,"VX","Virgin America","SFO","San Francisco, CA: San Francisco International",1769.00,485.00,67.63,17.35,274.05,1.32,124.64,19.00,1.00,30307.00,4686.00,1033.00,17109.00,34.00,7445.00,
2016,5,"VX","Virgin America","LAS","Las Vegas, NV: McCarran International",426.00,97.00,13.49,3.15,18.41,0.00,61.95,4.00,0.00,5743.00,981.00,183.00,965.00,0.00,3614.00,
2016,5,"VX","Virgin America","LAX","Los Angeles, CA: Los Angeles International",1161.00,235.00,84.38,14.04,44.58,1.18,90.82,11.00,1.00,11866.00,4228.00,495.00,1320.00,30.00,5793.00,
2016,5,"VX","Virgin America","ORD","Chicago, IL: Chicago O'Hare International",149.00,26.00,5.62,2.38,7.08,0.00,10.92,0.00,0.00,906.00,171.00,106.00,210.00,0.00,419.00,
2016,5,"VX","Virgin America","AUS","Austin, TX: Austin - Bergstrom International",58.00,14.00,1.95,0.73,1.50,1.00,8.82,0.00,1.00,498.00,86.00,16.00,39.00,15.00,342.00,
2016,5,"VX","Virgin America","PDX","Portland, OR: Portland International",89.00,19.00,3.16,0.00,0.94,0.00,14.90,0.00,0.00,1478.00,155.00,0.00,46.00,0.00,1277.00,
2016,5,"VX","Virgin America","JFK","New York, NY: John F. Kennedy International",362.00,76.00,18.50,9.99,16.06,0.00,31.46,0.00,0.00,4050.00,1034.00,281.00,780.00,0.00,1955.00,
2016,5,"VX","Virgin America","DCA","Washington, DC: Ronald Reagan Washington National",114.00,31.00,11.70,4.90,7.58,1.09,5.73,0.00,3.00,1167.00,460.00,136.00,280.00,22.00,269.00,
2016,5,"VX","Virgin America","MCO","Orlando, FL: Orlando International",31.00,5.00,1.93,0.07,2.00,0.00,1.00,0.00,0.00,378.00,271.00,17.00,74.00,0.00,16.00,
2016,5,"VX","Virgin America","FLL","Fort Lauderdale, FL: Fort Lauderdale-Hollywood International",78.00,9.00,3.91,0.87,1.00,0.00,3.21,0.00,0.00,400.00,179.00,36.00,81.00,0.00,104.00,
2016,5,"VX","Virgin America","BOS","Boston, MA: Logan International",173.00,31.00,12.19,5.83,6.48,0.00,6.51,0.00,0.00,1477.00,811.00,162.00,162.00,0.00,342.00,
2016,5,"VX","Virgin America","SAN","San Diego, CA: San Diego International",171.00,41.00,6.94,0.03,1.22,0.27,32.54,2.00,0.00,2143.00,351.00,1.00,55.00,4.00,1732.00,
2016,5,"VX","Virgin America","OGG","Kahului, HI: Kahului Airport",31.00,4.00,0.25,0.00,1.00,0.00,2.75,0.00,0.00,135.00,7.00,0.00,15.00,0.00,113.00,
2016,5,"VX","Virgin America","HNL","Honolulu, HI: Daniel K Inouye International",58.00,7.00,3.76,0.96,0.41,0.00,1.87,0.00,0.00,313.00,152.00,25.00,27.00,0.00,109.00,
2016,5,"VX","Virgin America","PSP","Palm Springs, CA: Palm Springs International",18.00,5.00,0.69,0.00,0.00,0.00,4.31,0.00,0.00,337.00,50.00,0.00,0.00,0.00,287.00,
2016,5,"VX","Virgin America","IAD","Washington, DC: Washington Dulles International",137.00,14.00,4.02,2.00,2.08,0.00,5.89,1.00,0.00,830.00,352.00,43.00,45.00,0.00,390.00,
2016,5,"VX","Virgin America","DAL","Dallas, TX: Dallas Love Field",428.00,85.00,16.64,7.32,17.44,0.03,43.57,1.00,6.00,4709.00,1053.00,312.00,755.00,1.00,2588.00,
2016,5,"VX","Virgin America","LGA","New York, NY: LaGuardia",111.00,41.00,6.29,6.01,25.44,0.82,2.43,0.00,0.00,2131.00,594.00,254.00,1073.00,16.00,194.00,
2016,5,"VX","Virgin America","SEA","Seattle, WA: Seattle/Tacoma International",221.00,32.00,6.34,1.35,7.32,0.00,16.99,1.00,0.00,1602.00,549.00,24.00,202.00,0.00,827.00,
2016,5,"VX","Virgin America","DEN","Denver, CO: Denver International",88.00,16.00,2.82,1.13,0.78,0.00,11.27,0.00,0.00,768.00,96.00,95.00,21.00,0.00,556.00,
2016,5,"VX","Virgin America","EWR","Newark, NJ: Newark Liberty International",174.00,38.00,8.57,2.00,10.02,0.00,17.41,1.00,0.00,1962.00,465.00,61.00,493.00,0.00,943.00,
2016,6,"VX","Virgin America","LAX","Los Angeles, CA: Los Angeles International",1186.00,367.00,111.04,21.90,120.44,2.31,111.31,17.00,1.00,18855.00,5974.00,806.00,5416.00,175.00,6484.00,
2016,6,"VX","Virgin America","SAN","San Diego, CA: San Diego International",171.00,43.00,9.16,0.03,9.41,0.00,24.39,2.00,0.00,1742.00,407.00,2.00,230.00,0.00,1103.00,
2016,6,"VX","Virgin America","SFO","San Francisco, CA: San Francisco International",1782.00,422.00,73.06,24.11,115.63,2.29,206.92,25.00,0.00,21999.00,4669.00,1030.00,6049.00,213.00,10038.00,
2016,6,"VX","Virgin America","JFK","New York, NY: John F. Kennedy International",352.00,101.00,26.72,9.73,32.68,0.80,31.07,3.00,1.00,5144.00,1066.00,404.00,2035.00,12.00,1627.00,
2016,6,"VX","Virgin America","BOS","Boston, MA: Logan International",198.00,38.00,11.81,8.23,6.86,0.00,11.10,1.00,1.00,1468.00,497.00,195.00,284.00,0.00,492.00,
2016,6,"VX","Virgin America","EWR","Newark, NJ: Newark Liberty International",180.00,63.00,11.79,4.70,24.98,0.00,21.53,3.00,0.00,3504.00,358.00,317.00,1580.00,0.00,1249.00,
2016,6,"VX","Virgin America","SEA","Seattle, WA: Seattle/Tacoma International",224.00,48.00,5.53,2.57,24.29,0.00,15.61,7.00,0.00,2424.00,389.00,74.00,892.00,0.00,1069.00,
2016,6,"VX","Virgin America","ORD","Chicago, IL: Chicago O'Hare International",147.00,38.00,12.85,4.13,11.33,0.00,9.70,0.00,0.00,2007.00,805.00,171.00,583.00,0.00,448.00,
2016,6,"VX","Virgin America","AUS","Austin, TX: Austin - Bergstrom International",56.00,11.00,3.45,0.00,0.00,0.00,7.55,0.00,1.00,894.00,247.00,0.00,0.00,0.00,647.00,
2016,6,"VX","Virgin America","PDX","Portland, OR: Portland International",86.00,26.00,8.58,0.00,3.65,0.00,13.77,0.00,0.00,908.00,324.00,0.00,110.00,0.00,474.00,
2016,6,"VX","Virgin America","LAS","Las Vegas, NV: McCarran International",416.00,88.00,18.73,3.06,21.72,1.89,42.60,6.00,3.00,4972.00,657.00,93.00,1487.00,161.00,2574.00,
2016,6,"VX","Virgin America","DCA","Washington, DC: Ronald Reagan Washington National",112.00,32.00,8.39,6.18,5.96,1.57,9.90,1.00,2.00,1645.00,496.00,284.00,290.00,231.00,344.00,
2016,6,"VX","Virgin America","MCO","Orlando, FL: Orlando International",30.00,5.00,3.93,0.00,0.13,0.00,0.94,0.00,1.00,231.00,207.00,0.00,9.00,0.00,15.00,
2016,6,"VX","Virgin America","FLL","Fort Lauderdale, FL: Fort Lauderdale-Hollywood International",90.00,37.00,15.22,1.84,4.64,1.00,14.30,0.00,0.00,1392.00,522.00,39.00,141.00,31.00,659.00,
2016,6,"VX","Virgin America","OGG","Kahului, HI: Kahului Airport",50.00,5.00,2.00,0.60,0.40,0.00,2.00,0.00,0.00,244.00,36.00,12.00,8.00,0.00,188.00,
2016,6,"VX","Virgin America","HNL","Honolulu, HI: Daniel K Inouye International",60.00,14.00,9.00,0.57,0.60,0.00,3.82,0.00,0.00,470.00,331.00,22.00,12.00,0.00,105.00,
2016,6,"VX","Virgin America","IAD","Washington, DC: Washington Dulles International",152.00,30.00,8.29,0.07,12.86,0.00,8.77,0.00,1.00,1108.00,295.00,6.00,420.00,0.00,387.00,
2016,6,"VX","Virgin America","DAL","Dallas, TX: Dallas Love Field",416.00,115.00,39.44,15.56,23.92,0.00,36.08,3.00,4.00,6541.00,1827.00,787.00,1216.00,0.00,2711.00,
2016,6,"VX","Virgin America","LGA","New York, NY: LaGuardia",108.00,34.00,1.90,3.41,20.86,2.00,5.83,0.00,0.00,2209.00,125.00,102.00,1337.00,284.00,361.00,
2016,6,"VX","Virgin America","PSP","Palm Springs, CA: Palm Springs International",17.00,3.00,0.59,0.00,0.46,0.00,1.94,0.00,0.00,150.00,31.00,0.00,32.00,0.00,87.00,
2016,6,"VX","Virgin America","DEN","Denver, CO: Denver International",86.00,18.00,6.71,0.24,2.85,0.00,8.20,3.00,0.00,814.00,365.00,12.00,112.00,0.00,325.00,
2016,7,"VX","Virgin America","LAX","Los Angeles, CA: Los Angeles International",1253.00,334.00,98.36,18.26,101.68,1.36,114.34,7.00,1.00,16407.00,4524.00,578.00,3945.00,86.00,7274.00,
2016,7,"VX","Virgin America","SAN","San Diego, CA: San Diego International",164.00,32.00,5.76,0.00,1.64,0.00,24.60,1.00,0.00,1930.00,303.00,0.00,63.00,0.00,1564.00,
2016,7,"VX","Virgin America","SFO","San Francisco, CA: San Francisco International",1807.00,430.00,88.20,19.79,156.78,0.18,165.04,13.00,3.00,23740.00,4670.00,883.00,9390.00,5.00,8792.00,
2016,7,"VX","Virgin America","JFK","New York, NY: John F. Kennedy International",359.00,109.00,17.30,9.04,55.92,1.00,25.73,0.00,2.00,7554.00,1010.00,332.00,4816.00,25.00,1371.00,
2016,7,"VX","Virgin America","OGG","Kahului, HI: Kahului Airport",67.00,3.00,2.00,0.00,0.00,0.00,1.00,0.00,0.00,60.00,44.00,0.00,0.00,0.00,16.00,
2016,7,"VX","Virgin America","BOS","Boston, MA: Logan International",198.00,36.00,10.15,4.00,12.17,0.00,9.68,0.00,0.00,1648.00,513.00,105.00,617.00,0.00,413.00,
2016,7,"VX","Virgin America","EWR","Newark, NJ: Newark Liberty International",200.00,50.00,8.94,6.41,24.61,0.00,10.04,0.00,3.00,3719.00,373.00,323.00,2363.00,0.00,660.00,
2016,7,"VX","Virgin America","SEA","Seattle, WA: Seattle/Tacoma International",227.00,47.00,10.21,1.40,14.12,0.00,21.26,2.00,2.00,2277.00,673.00,38.00,552.00,0.00,1014.00,
2016,7,"VX","Virgin America","ORD","Chicago, IL: Chicago O'Hare International",148.00,44.00,14.48,6.90,8.97,0.00,13.65,0.00,1.00,2110.00,549.00,396.00,533.00,0.00,632.00,
2016,7,"VX","Virgin America","AUS","Austin, TX: Austin - Bergstrom International",57.00,11.00,4.00,0.30,0.06,0.00,6.64,0.00,0.00,854.00,607.00,9.00,2.00,0.00,236.00,
2016,7,"VX","Virgin America","PDX","Portland, OR: Portland International",88.00,18.00,5.61,1.14,2.18,0.13,8.94,0.00,0.00,1061.00,400.00,19.00,69.00,14.00,559.00,
2016,7,"VX","Virgin America","LAS","Las Vegas, NV: McCarran International",429.00,93.00,26.21,1.32,10.03,0.00,55.44,4.00,0.00,5234.00,1593.00,70.00,354.00,0.00,3217.00,
